Comments,Type
there is nothing else like khan academy out there for improving your academic skills. they are cutting edge for learning.,1.0
"sal is amazing. so is chemistry. i really really wish my school teacher could teach chemistry like this. unfortunately, he didn&#39;t and the chemistry class for me turned out to be all about memorising the periodic table, drawing the structure of all molecules. never thinking about why and how. i then became a computer science engineer. at the age of 36, which is right now, i realise my real passion is in chemistry. for all the students who are reading this, sometimes the teacher is just not good and please try to learn from somewhere else. don&#39;t lose your curiosity about the world. i lost it when i was so young and i want to find it back right now.",1.0
"thanks khan academy! wish i had this series when i was in school, would have helped so much and inspired so many interest i came upon naturally.glad this is out there for the interested kids today!",1.0
"this was a really helpful video in understanding what the essence of chemistry is. you really put it into perspective for me when you said that even though we haven&#39;t figured it all out, we can still make use of the functional aspects of math and physics and use it to explain things in our universe. great video!",1.0
"always stuns me how the study of the minute blocks of matter that make up the existence we live in can be the most overlooked of the three core sciences. always pleased to see khan academy bearing the flag for chemistry, helped me get through all levels of my education and shaped me into the scientist i am today!",1.0
"wow, i have a doctorate from cornell, but never had a teacher like this.this guy is excellent. i&#39;m hooked.",1.0
studying chemistry for years & now it makes sense,1.0
"in my previous school the only subject we covered in science was biology makin me very behind in both chemistry and physics, this is really helpful tnx. (i&#39;m 14 and about to start my gcses)",1.0
"thanks khan academy! right when i was feeling down about chemistry at the end of the semester you&#39;ve brought me back around, like always! chemistry is awesome!!",1.0
wow. im 10 yet i can still do various chemistry problems and even calculus all because of khan academy. i owe a huge thank you to you sal and everyone at khan academy for helping me dedicating my life to learn and even making it a full time hobby of mine.,1.0
thank you beyond belief khan - this is what i&#39;ve needed since school.. you&#39;ve created an outstanding academy.. i&#39;m a big fan ,1.0
"thats a motivational video,  even though i gone through medical studies, now feels important to study  chemistry in deep to understand basics which doctors cannot explain",1.0
"my 10yo has been using ka for several years and is currently using their coding, 4th grade math and grammar lessons. my 6yo uses their khan academy kids app and their 2nd grade math lessons. i pull from ka&#39;s world history and science lessons to teach both of my youngest boys together. they both love studying space and their queries have lead us to needing vids/lessons about chemistry. i knew i could look to ka to teach complex concepts in a clear and interesting way, so here i am...adding this vid to my lesson plans at 2am heh",1.0
heyyy mr. khan..... u are doing an awesome job... hats off to your teaching.... keep on going....,1.0
"sal you are an awesome individual , i am gleaning from your discourse that you have an understanding far beyond these simplistic topics you are teaching",1.0
people who are just starting out in chem101 typically do ignore the periodic table because they have seen it most of their lives (me included in the beginning). i think a goal that all introductory teachers should have is making the table mystifying again. it&#39;s one of those things that you will never see the same way once it is accurately explained to you.,1.0
"its interesting how weve separated them. because theres overlap sometimes. its mentioned in the video how there is overlap. like for example the way light enters the eye, thats not just a biological thing. thats also physics. and then the neurons in the brain, there is a lot of potassium and sodium stuff going on which i am still learning about. ions, positive charges, negative charges. it would be be good to have a theory of everything.",1.0
"i love this video. i love how i can feel the excitement of the speaker. it makes me wanna go deep into different fields of sciences, not just chemistry:d keep it up! you make studying fun and exciting for us.",1.0
"chemistry is so cool! i really thought science was just science but noooo theres physics and biology and many more! everything we see around us is related to science and more specifically chemistry?? wow that is so cool! thank you khan academy, this made me look at our world in a different perspective. you are cool too  keep it up !",1.0
sal got me thru linear algebra and stats ten years ago and now is helping me with chemistry for vet science :) thank you,1.0
"thank you. i&#39;m not even out of elementary school,and i&#39;m studying to become a chemical engineer. this helped me understand what chemistry means thank you!",1.0
"this is a wonderful introduction! exactly what i was looking for!  my mind thirsts for interconnectedness, the gestalt and the micro, and how it all fits together i always loved and excelled in biolog, but never felt i had a handle on chemistry not for lack of wanting(im 51 now), but still am fascinated with science, and yearn for deep integration.  thank you!  youre a great teacher!, im looking forward to the next lesson ",1.0
"after reading the comments, i feel so blessed i watched this video before starting to learn actual chemistry.",1.0
i love how he talks about maths as a common language. he loves maths. :),1.0
very nice presentation keep the good work,1.0
"i always wanted to study chemistry, but not the school-way. during my highschool years i never understood, ""why the hell am i studying this what&#39;s this for how can i visualize this i cant what&#39;s the point of this"" no one ever taught me to learn chemistry and relate it to what&#39;s happening around us. this is why i want to learn it by myself, here in youtube. i hope chemistry will one day make sense to me. i love chemistry but i hate that i dont get it, i can&#39;t relate it to the environment. unfortunately for me, my course pharmacy has alot of chemistry and my first year will start in a few weeks. i really want to not just study but understand chemistry before college starts.",1.0
"you guys are great. a fluid when supercooled, only freezes because of acoustics. if completely it won&#39;t freeze, even at absolute zero.very cold beverages ahead!",1.0
really engaging introduction to chemistry.,1.0
the true essence of chemistry is the mystery it holds inside that lights the curiosity of humans to explore,1.0
great pep talk for the study of chemistry....whets your appetite for more!  ,1.0
"i&#39;m trying to find a new hobby for the summer and i always wanted to understand chemistry, so here we are",1.0
one of the beauty of learning chemistry is that you know from the back of your mind some being from exoplanets are studying it too and we obey same physical law,1.0
great video! hope theres more to come :d,1.0
chemistry is so easy if this is the kind of professors we have.,1.0
he talks with so much passion,1.0
love this video. this is why i study chemistry!,1.0
awesome intro!!!! i finally grasp the definition of chemistry. love listening to your voice!,1.0
"lovely video, science is truly exciting",1.0
bro that was awesome i never thought about chemistry like this,1.0
this video helped me get into a 10 out of 10 rating school!,1.0
i loved this thank you guys,1.0
"mad scientists are, indeed, a very important part of chemistry! i struggle to believe all of the people that got us here were where completely sane.",1.0
you guys are perfect.thank u so much:)),1.0
love this vid i now see why i  picked this subject at school hearing about it sounds fun,1.0
"i have never been so intrested , fascinated and impressed by any thing.",1.0
